Phrase,Sujet,Verbe,Objet,Dep_sujet,Dep_verbe,Dep_objet,ID_sujet,ID_verbe,ID_objet,DocID_sujet,DocID_verbe,DocID_objet,AlignID_sujet,AlignID_verbe,AlignID_objet,IDs_sujet,IDs_objet,Lemme_verbe,Head_verbe,Annotation_verbe_col8,Annotation_verbe_col9,Num_phrase,Num_paragr,Sentence_index,personnages_sujet,personnages_objet,personnages_triptyque,lieux_sujet,lieux_objet,lieux_triptyque,types_lieux_triptyque,a_personnage_triptyque,a_lieu_triptyque,a_personnage_et_lieu_triptyque
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",NaN,portant,le numéro 7 de Saville-row Burlington Gardens-maison,NaN,acl,obj,,8,10,,7,9,,7,9,[],"[9, 10, 11, 12, 13, 14, 15, 17, 18, 20]",porter,7,_,_,0,0,1,[],[],[],[],"['saville - row', 'burlington gardens']","['saville - row', 'burlington gardens']",['FAC'],False,True,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",Sheridan,mourut,en 1814,nsubj,acl:relcl,obl:mod,23,24,26,22,23,25,20,21,23,[23],"[25, 26]",mourir,20,_,_,0,0,1,['26'],[],['26'],[],[],[],[],True,False,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,En l'année 1872,nsubj:pass,root,obl:mod,7,30,3,6,29,2,6,26,2,"[6, 7]","[1, 2, 3, 4]",habiter,0,_,_,0,0,1,[],[],[],['la maison'],[],['la maison'],['FAC'],False,True,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,par Phileas Fogg esq.,nsubj:pass,root,obl:agent,7,30,32,6,29,31,6,26,28,"[6, 7]","[31, 32, 33, 35, 36]",habiter,0,_,_,0,0,1,[],['0'],['0'],['la maison'],[],['la maison'],['FAC'],True,True,True
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,l'un des membres les plus singuliers et les plus remarqués du Reform-Club de Londres,nsubj:pass,root,obl:mod,7,30,39,6,29,38,6,26,35,"[6, 7]","[38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",habiter,0,_,_,0,0,1,[],[],[],['la maison'],[],['la maison'],['FAC'],False,True,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,semblât,NaN,nsubj:pass,advcl,NaN,7,59,,6,58,,6,54,,"[6, 7]",[],sembler,30,_,_,0,0,1,[],[],[],['la maison'],[],['la maison'],['FAC'],False,True,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",NaN,prendre,à tâche,NaN,xcomp,obl:arg,,60,62,,59,61,,55,57,[],"[61, 62]",prendre,59,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",NaN,faire,NaN,NaN,acl,NaN,,66,,,65,,,61,,[],[],faire,62,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",qui,pût,NaN,nsubj,acl:relcl,NaN,67,68,,66,67,,62,63,,[67],[],pouvoir,62,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",qui,attirer,l'attention,nsubj,xcomp,obj,67,69,71,66,68,70,62,64,66,[67],"[70, 71]",attirer,68,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",qui,honorent,l'Angleterre,nsubj,acl:relcl,obj,8,9,11,79,80,82,75,76,78,[8],"[10, 11]",honorer,7,_,_,1,1,2,[],[],[],[],[],[],[],False,False,False
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",NaN,succédait,À l'un des plus grands orateurs,NaN,root,obl:mod,,13,3,,84,74,,80,70,[],"[1, 2, 3, 4, 5, 6, 7]",succéder,0,_,_,1,1,2,[],[],[],[],[],[],[],False,False,False
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",NaN,succédait,ce Phileas Fogg personnage énigmatique sinon que c'était un fort galant homme et l'un des plus beaux gentlemen de la haute société anglaise,NaN,root,obj,,13,16,,84,87,,80,83,[],"[15, 16, 17, 19, 20, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",succéder,0,_,_,1,1,2,[],['0'],['0'],[],[],[],[],True,False,False
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",on,savait,rien,nsubj,acl:relcl,obj,23,25,26,94,96,97,90,92,93,[23],[26],savoir,16,_,_,1,1,2,[],[],[],[],[],[],[],False,False,False
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",On,disait,NaN,nsubj,root,NaN,1,2,,120,121,,116,117,,[1],[],dire,0,_,_,2,2,3,['27'],[],['27'],[],[],[],[],True,False,False
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,à Byron,nsubj,ccomp,obl:arg,4,5,7,123,124,126,119,120,122,[4],"[6, 7]",ressembler,2,_,_,2,2,3,['0'],[],['0'],[],[],[],[],True,False,False
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,Byron-par,nsubj,ccomp,obj,4,5,8,123,124,127,119,120,,[4],[8],ressembler,2,_,_,2,2,3,['0'],[],['0'],[],[],[],[],True,False,False
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,Byron-par la tête,nsubj,ccomp,obl:mod,4,5,11,123,124,130,119,120,125,[4],"[9, 10, 11]",ressembler,2,_,_,2,2,3,['0'],[],['0'],[],[],[],[],True,False,False
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,quant aux pieds,nsubj,ccomp,obl:mod,4,5,19,123,124,138,119,120,133,[4],"[17, 18, 19]",ressembler,2,_,_,2,2,3,['0'],[],['0'],[],[],[],[],True,False,False
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,"pieds-,",nsubj,ccomp,obj,4,5,20,123,124,139,119,120,,[4],[20],ressembler,2,_,_,2,2,3,['0'],[],['0'],[],[],[],[],True,False,False
