,cle_triptyque,chapter,Num_paragr,Num_phrase,Phrase,Sujet,Verbe,Objet,time_texte_auto,time_code_auto,time_texte,time_code,time_source,time_ud_governor,temps_ref,temps_auto,statut_temps
81,1 || 9 || 26 || _ || est || _,1,9,26,"Ce qui était certain toutefois, c' est que, depuis de longues années, Phileas Fogg n' avait pas quitté Londres.",,est,,depuis de longues années,1862-00-00-00,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1862-00-00-00,1872-00-00-00,temps_different
82,1 || 9 || 26 || phileas fogg || quitté || depuis de longues années,1,9,26,"Ce qui était certain toutefois, c' est que, depuis de longues années, Phileas Fogg n' avait pas quitté Londres.",Phileas Fogg,quitté,depuis de longues années,depuis de longues années,1862-00-00-00,depuis de longues années,,objet,quitté,1862-00-00-00,,seulement_ref
83,1 || 9 || 26 || phileas fogg || quitté || londres,1,9,26,"Ce qui était certain toutefois, c' est que, depuis de longues années, Phileas Fogg n' avait pas quitté Londres.",Phileas Fogg,quitté,Londres,depuis de longues années,1862-00-00-00,depuis de longues années,,ud_direct,quitté,1862-00-00-00,,seulement_ref
84,1 || 9 || 27 || qui || avaient || l'honneur,1,9,27,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,qui,avaient,l'honneur,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
85,1 || 9 || 27 || qui || connaître || le,1,9,27,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,qui,connaître,le,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
86,1 || 9 || 27 || ceux || attestaient || que,1,9,27,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,Ceux,attestaient,que,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
87,1 || 9 || 27 || ceux || est || sur ce chemin direct,1,9,27,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,Ceux,est,sur ce chemin direct,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
88,1 || 9 || 27 || il || parcourait || qu',1,9,27,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,parcourait,qu',chaque jour,1872-00-00-10,chaque jour,,ud_direct,parcourait,1872-00-00-10,,seulement_ref
89,1 || 9 || 27 || il || parcourait || chaque jour,1,9,27,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,parcourait,chaque jour,chaque jour,1872-00-00-10,chaque jour,,objet,parcourait,1872-00-00-10,,seulement_ref
90,1 || 9 || 27 || il || venir || de sa maison au club,1,9,27,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,venir,de sa maison au club,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
91,1 || 9 || 27 || club-personne || pouvait || _,1,9,27,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,club-personne,pouvait,,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
92,1 || 9 || 27 || club-personne || prétendre || _,1,9,27,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,club-personne,prétendre,,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
93,1 || 9 || 27 || _ || vu || l',1,9,27,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,,vu,l',chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
94,1 || 9 || 28 || son seul passe-temps || était || _,1,9,28,Son seul passe-temps était de lire les journaux et de jouer au whist.,Son seul passe-temps,était,,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
95,1 || 9 || 28 || son seul passe-temps || lire || les journaux,1,9,28,Son seul passe-temps était de lire les journaux et de jouer au whist.,Son seul passe-temps,lire,les journaux,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
96,1 || 9 || 28 || son seul passe-temps || jouer || au whist,1,9,28,Son seul passe-temps était de lire les journaux et de jouer au whist.,Son seul passe-temps,jouer,au whist,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
97,1 || 9 || 29 || il || gagnait || à ce jeu du silence si bien approprié à sa nature,1,9,29,"À ce jeu du silence, si bien approprié à sa nature, il gagnait souvent, mais ses gains n' entraient jamais dans sa bourse et figuraient pour une somme importante à son budget de charité.",il,gagnait,À ce jeu du silence si bien approprié à sa nature,chaque jour,1872-00-00-10,en l' année 1872,1872-00-00-00-00,precedent_context,habitée,1872-00-00-10,1872-00-00-00,temps_different
