Phrase,Sujet,Verbe,Objet,Dep_sujet,Dep_verbe,Dep_objet,ID_sujet,ID_verbe,ID_objet,Lemme_verbe,Head_verbe,Annotation_verbe_col8,Annotation_verbe_col9,Num_phrase,Num_paragr,Sentence_index,triplet_order,is_dynamouv,verb_occ_key,chapter,triptyque_id,personnages_sujet,personnages_objet,personnages_triptyque,lieux_sujet,lieux_objet,lieux_triptyque,types_lieux_triptyque,a_personnage_triptyque,a_lieu_triptyque,a_personnage_et_lieu_triptyque
"En l’ année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens– maison dans laquelle Sheridan mourut en 1814–, était habitée par Phileas Fogg, esq., l’ un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu’ il semblât prendre à tâche de ne rien faire qui pût attirer l’ attention.",la maison maison,habitée,par Phileas Fogg esq.,nsubj:pass,root,obl:agent,7.0,30,32.0,habiter,0,_,_,1,1,1,4,False,1_30,1,4,[],['3'],['3'],['la maison'],[],['la maison'],['FAC'],True,True,True
"Son nom n’ avait jamais retenti dans un collège d’ avocats, ni au Temple, ni à Lincoln’ s - inn, ni à Gray’ s - inn.",Son nom,retenti,dans un collège d’ avocats ni au Temple ni à Lincoln’ s - inn ni à Gray’ s - inn,nsubj,root,obl:mod,2.0,6,9.0,retentir,0,_,_,8,4,8,26,False,8_6,1,26,['3'],[],['3'],[],"['au temple', 'lincoln’ s - inn', 'gray’ s - inn']","['au temple', 'lincoln’ s - inn', 'gray’ s - inn']",['FAC'],True,True,True
"Jamais il ne plaida ni à la Cour du chancelier, ni au Banc de la Reine, ni à l’ Échiquier, ni en Cour ecclésiastique.",il,plaida,ni à la Cour du chancelier ni au Banc de la Reine ni à l’ Échiquier ni en Cour ecclésiastique,nsubj,root,obj,2.0,4,8.0,plaider,0,_,_,9,4,9,27,False,9_4,1,27,['3'],[],['3'],[],['la reine'],['la reine'],['FAC'],True,True,True
Ceux qui avaient l’ honneur de le connaître un peu plus que les autres attestaient que– si ce n’ est sur ce chemin direct qu’ il parcourait chaque jour pour venir de sa maison au club– personne ne pouvait prétendre l’ avoir jamais vu ailleurs.,il,venir,de sa maison au club,nsubj,advcl,obl:arg,27.0,32,35.0,venir,28,Dpt au sens large,VERB,29,10,29,89,True,29_32,1,89,['1'],['1'],['1'],[],"['sa maison', 'au club']","['sa maison', 'au club']",['FAC'],True,True,True
"Phileas Fogg vivait seul dans sa maison de Saville - row, où personne ne pénétrait.",Phileas Fogg,vivait,dans sa maison de Saville - row,nsubj,root,obl:mod,1.0,3,7.0,vivre,0,_,_,35,11,35,109,False,35_3,1,109,['3'],['3'],['3'],[],"['sa maison de saville - row', 'saville - row']","['sa maison de saville - row', 'saville - row']",['FAC'],True,True,True
"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu’ il dormît, soit qu’ il s’ occupât de sa toilette.",il,passait,à son domicile,nsubj,root,obl:mod,5.0,7,11.0,passer,0,_,_,39,11,39,129,False,39_7,1,129,['3'],['3'],['3'],[],['son domicile'],['son domicile'],['FAC'],True,True,True
"S’ il se promenait, c’ était invariablement, d’ un pas égal, dans la salle d’ entrée parquetée en marqueterie, ou sur la galerie circulaire, au-dessus de laquelle s’ arrondit un dôme à vitraux bleus, que supportent vingt colonnes ioniques en porphyre rouge.",il,promenait,dans la salle d’ entrée ou sur la galerie circulaire,nsubj,root,obl:mod,2.0,4,17.0,promener,0,_,_,40,11,40,135,False,40_4,1,135,['3'],[],['3'],[],"['la salle d’ entrée parquetée en marqueterie', 'la galerie circulaire']","['la salle d’ entrée parquetée en marqueterie', 'la galerie circulaire']",['FAC'],True,True,True
"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",Mr. Fogg,quitter,la maison,nsubj,xcomp,obj,8.0,17,19.0,quitter,10,Dpt au sens large,VERB,48,14,48,188,True,48_17,1,188,['1'],[],['1'],[],['la maison'],['la maison'],['FAC'],True,True,True
"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",Mr. Fogg,rendre,au Reform,nsubj,conj,obl:arg,8.0,22,24.0,rendre,17,_,_,48,14,48,190,False,48_22,1,190,['1'],[],['1'],[],['au reform - club'],['au reform - club'],['FAC'],True,True,True
"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",Mr. Fogg,rendre,-,nsubj,conj,obl:arg,8.0,22,25.0,rendre,17,_,_,48,14,48,191,False,48_22,1,191,['1'],[],['1'],[],['au reform - club'],['au reform - club'],['FAC'],True,True,True
