Phrase,Sujet,Verbe,Objet,Dep_sujet,Dep_verbe,Dep_objet,ID_sujet,ID_verbe,ID_objet,DocID_sujet,DocID_verbe,DocID_objet,IDs_sujet,IDs_objet,Lemme_verbe,Head_verbe,Annotation_verbe_col8,Annotation_verbe_col9,Num_phrase,Num_paragr,Sentence_index,personnages_sujet,personnages_objet,personnages_triptyque,lieux_sujet,lieux_objet,lieux_triptyque,types_lieux_triptyque,a_personnage_triptyque,a_lieu_triptyque,a_personnage_et_lieu_triptyque,chapter
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",,portant,le numéro 7 de Saville-row Burlington Gardens-maison,,acl,obj,,8,10.0,,7,9.0,[],"[9, 10, 11, 12, 13, 14, 15, 17, 18, 20]",porter,7,_,_,0,0,1,[],[],[],[],"['saville - row', 'burlington gardens']","['saville - row', 'burlington gardens']",['FAC'],False,True,False,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",Sheridan,mourut,en 1814,nsubj,acl:relcl,obl:mod,23.0,24,26.0,22.0,23,25.0,[23],"[25, 26]",mourir,20,_,_,0,0,1,['220'],[],['220'],[],[],[],[],True,False,False,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,En l'année 1872,nsubj:pass,root,obl:mod,7.0,30,3.0,6.0,29,2.0,"[6, 7]","[1, 2, 3, 4]",habiter,0,_,_,0,0,1,[],[],[],['la maison'],[],['la maison'],['FAC'],False,True,False,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,par Phileas Fogg esq.,nsubj:pass,root,obl:agent,7.0,30,32.0,6.0,29,31.0,"[6, 7]","[31, 32, 33, 35, 36]",habiter,0,_,_,0,0,1,[],['3'],['3'],['la maison'],[],['la maison'],['FAC'],True,True,True,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,l'un des membres les plus singuliers et les plus remarqués du Reform-Club de Londres,nsubj:pass,root,obl:mod,7.0,30,39.0,6.0,29,38.0,"[6, 7]","[38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",habiter,0,_,_,0,0,1,[],[],[],['la maison'],[],['la maison'],['FAC'],False,True,False,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,semblât,,nsubj:pass,advcl,,7.0,59,,6.0,58,,"[6, 7]",[],sembler,30,_,_,0,0,1,[],[],[],['la maison'],[],['la maison'],['FAC'],False,True,False,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",,prendre,à tâche,,xcomp,obl:arg,,60,62.0,,59,61.0,[],"[61, 62]",prendre,59,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",,faire,,,acl,,,66,,,65,,[],[],faire,62,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",qui,pût,,nsubj,acl:relcl,,67.0,68,,66.0,67,,[67],[],pouvoir,62,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",qui,attirer,l'attention,nsubj,xcomp,obj,67.0,69,71.0,66.0,68,70.0,[67],"[70, 71]",attirer,68,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False,1
