Phrase,Sujet,Verbe,Objet,type_deplacement,chapitre
"C’ était un homme qui avait dû voyager partout,–   en esprit, tout au moins.",qui,voyager,,Dpt au sens large,1
Ceux qui avaient l’ honneur de le connaître un peu plus que les autres attestaient que– si ce n’ est sur ce chemin direct qu’ il parcourait chaque jour pour venir de sa maison au club– personne ne pouvait prétendre l’ avoir jamais vu ailleurs.,il,venir,de sa maison au club,Dpt au sens large,1
"D’ ailleurs, il faut le remarquer, Mr. Fogg jouait évidemment pour jouer, non pour gagner.",,gagner,,Dpt au sens large,1
"On ne connaissait à Phileas Fogg ni femme ni enfants,–   ce qui peut arriver aux gens les plus honnêtes,–   ni parents ni amis,–   ce qui est plus rare en vérité.",qui,arriver,aux gens les plus honnêtes   ni parents ni amis   ce qui est plus rare en vérité,Dpt au sens large,1
"Phileas Fogg, carrément assis dans son fauteuil, les deux pieds rapprochés comme ceux d’ un soldat à la parade, les mains appuyées sur les genoux, le corps droit, la tête haute, regardait marcher l’ aiguille de la pendule,–   appareil compliqué qui indiquait les heures, les minutes, les secondes, les jours, les quantièmes et l’ année.",Phileas Fogg,marcher,l’ aiguille de la pendule   appareil compliqué,Dpt au sens large,1
"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",Mr. Fogg,quitter,la maison,Dpt au sens large,1
"Il comprenait– depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu’ à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club– tous les détails du service, le thé et les rôties de huit heures vingt-trois, l’ eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit– heure à laquelle se couchait le méthodique gentleman–, tout était noté, prévu, régularisé.",il,aller,,Dpt au sens large,2
"Des inspecteurs de police, gens fort habiles, ont été envoyés en Amérique et en Europe, dans tous les principaux ports d’ embarquement et de débarquement, et il sera difficile à ce monsieur de leur échapper.",,échapper,leur,Dpt au sens large,3
"La liasse de bank - notes ne revint pas, et quand la magnifique horloge, posée au-dessus du«   drawing - office  », sonna à cinq heures la fermeture des bureaux, la Banque d’ Angleterre n’ avait plus qu’ à passer cinquante - cinq mille livres par le compte de profits et pertes.",la Banque d’ Angleterre,passer,cinquante - cinq mille livres,Dpt au sens large,3
"La liasse de bank - notes ne revint pas, et quand la magnifique horloge, posée au-dessus du«   drawing - office  », sonna à cinq heures la fermeture des bureaux, la Banque d’ Angleterre n’ avait plus qu’ à passer cinquante - cinq mille livres par le compte de profits et pertes.",la Banque d’ Angleterre,passer,par le compte de profits et pertes,Dpt au sens large,3
"Puis  :«   À vous de couper, monsieur  », ajouta -t -il en présentant les cartes à Thomas Flanagan.",,couper,,Dynamicité spatiale sans dpt,3
"–   Mais pour ne pas le dépasser, il faut sauter mathématiquement des railways dans les paquebots, et des paquebots dans les chemins de fer  !",,dépasser,le,Dpt au sens large,3
"–   Mais pour ne pas le dépasser, il faut sauter mathématiquement des railways dans les paquebots, et des paquebots dans les chemins de fer  !",,sauter,des railways,Dynamicité spatiale sans dpt,3
"–   Mais pour ne pas le dépasser, il faut sauter mathématiquement des railways dans les paquebots, et des paquebots dans les chemins de fer  !",,sauter,dans les paquebots,Dynamicité spatiale sans dpt,3
"Il n’ avait certainement pas parié pour gagner, et n’ avait engagé ces vingt mille livres– la moitié de sa fortune– que parce qu’ il prévoyait qu’ il pourrait avoir à dépenser l’ autre pour mener à bien ce difficile, pour ne pas dire inexécutable projet.",Il,gagner,,Dpt au sens large,3
"Passepartout, qui avait consciencieusement étudié son programme, fut assez surpris en voyant Mr. Fogg, coupable d’ inexactitude, apparaître à cette heure insolite.",,apparaître,à cette heure insolite,Dpt au sens large,4
"Suivant la notice, le locataire de Saville - row ne devait rentrer qu’ à minuit précis.",le locataire de Saville - row,rentrer,qu’ à minuit précis,Dpt au sens large,4
"Le sac faillit s’ échapper des mains de Passepartout, comme si les vingt mille livres eussent été en or et pesé considérablement.",Le sac,échapper,s’,Dpt au sens large,4
"Le sac faillit s’ échapper des mains de Passepartout, comme si les vingt mille livres eussent été en or et pesé considérablement.",Le sac,échapper,des mains de Passepartout,Dpt au sens large,4
"Mr. Fogg tira de sa poche les vingt guinées qu’ il venait de gagner au whist, et, les présentant à la mendiante  :",il,gagner,au whist,Dpt au sens large,4
"À la rigueur, et en Europe, où il s’ agit de parcours d’ une longueur relativement médiocre, on peut compter sur l’ arrivée des trains à heure fixe  ; mais quand ils emploient trois jours à traverser l’ Inde, sept jours à traverser les États-Unis, pouvait -on fonder sur leur exactitude les éléments d’ un tel problème  ?",ils,traverser,l’ Inde,Dpt au sens large,5
"À la rigueur, et en Europe, où il s’ agit de parcours d’ une longueur relativement médiocre, on peut compter sur l’ arrivée des trains à heure fixe  ; mais quand ils emploient trois jours à traverser l’ Inde, sept jours à traverser les États-Unis, pouvait -on fonder sur leur exactitude les éléments d’ un tel problème  ?",,traverser,les États-Unis,Dpt au sens large,5
"De ces deux hommes, l’ un était l’ agent consulaire du Royaume - Uni, établi à Suez, qui– en dépit des fâcheux pronostics du gouvernement britannique et des sinistres prédictions de l’ ingénieur Stephenson– voyait chaque jour des navires anglais traverser ce canal, abrégeant ainsi de moitié l’ ancienne route de l’ Angleterre aux Indes par le cap de Bonne-Espérance.",qui,traverser,ce canal,Dpt au sens large,6
"Ainsi ayez patience, il ne peut tarder à arriver. Mais je ne sais vraiment pas comment, avec le signalement que vous avez reçu, vous pourrez reconnaître votre homme, s’ il est à bord du Mongolia.",,arriver,,Dpt au sens large,6
"Ainsi ayez patience, il ne peut tarder à arriver. Mais je ne sais vraiment pas comment, avec le signalement que vous avez reçu, vous pourrez reconnaître votre homme, s’ il est à bord du Mongolia.",vous,reconnaître,votre homme,Dynamicité spatiale sans dpt,6
Le temps d’ embarquer son charbon.,,embarquer,son charbon,Dpt au sens large,6
"–   Eh bien, dit Fix, si le voleur a pris cette route et ce bateau, il doit entrer dans son plan de débarquer à Suez, afin de gagner par une autre voie les possessions hollandaises ou françaises de l’ Asie.",il,entrer,dans son plan,Dpt au sens large,6
"–   Eh bien, dit Fix, si le voleur a pris cette route et ce bateau, il doit entrer dans son plan de débarquer à Suez, afin de gagner par une autre voie les possessions hollandaises ou françaises de l’ Asie.",,débarquer,à Suez,Dpt au sens large,6
"–   Eh bien, dit Fix, si le voleur a pris cette route et ce bateau, il doit entrer dans son plan de débarquer à Suez, afin de gagner par une autre voie les possessions hollandaises ou françaises de l’ Asie.",,gagner,par une autre voie,Dpt au sens large,6
