Phrase,Sujet,Verbe,Objet,Dep_sujet,Dep_verbe,Dep_objet,ID_sujet,ID_verbe,ID_objet,DocID_sujet,DocID_verbe,DocID_objet,IDs_sujet,IDs_objet,Lemme_verbe,Head_verbe,Annotation_verbe_col8,Annotation_verbe_col9,Num_phrase,Num_paragr,Sentence_index,personnages_sujet,personnages_objet,personnages_triptyque,lieux_sujet,lieux_objet,lieux_triptyque,types_lieux_triptyque,a_personnage_triptyque,a_lieu_triptyque,a_personnage_et_lieu_triptyque,chapter,time_entity_id,time_texte,time_kind,time_precision,time_code,time_datetime,time_debut,time_fin,time_jour_romanesque,time_duration_value,time_duration_unit,time_duration_relation,time_source,time_ud_governor,lieu_manuel,lieu_mention_manuelle,relation_lieu_manuelle,type_lieu_manuel,tous_lieux_manuels
"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",il,passa,sur la recommandation de MM. Baring frères,nsubj,ccomp,obl:arg,24.0,25,28.0,453.0,454,457.0,[24],"[26, 27, 28, 29, 30, 31, 32]",passer,22,_,_,13,5,14,['0'],['46'],"['0', '46']",[],[],[],[],True,False,False,1,0,l' année 1872,date_absolue,annee,1872-00-00-00-00,,,,,,,,precedent_context,habitée,reform_club,cette honorable association,lieu_sans_relation,FAC,reform_club
Avait -il voyagé?,-il,voyagé,,nsubj,root,,2.0,3,,641.0,642,,[2],[],voyager,0,_,_,21,8,22,['0'],[],['0'],[],[],[],[],True,False,False,1,0,l' année 1872,date_absolue,annee,1872-00-00-00-00,,,,,,,,precedent_context,habitée,,,,,
Il n' était endroit si reculé dont il ne parût avoir une connaissance spéciale.,il,parût,dont,nsubj,acl:relcl,iobj,8.0,10,7.0,667.0,669,666.0,[8],[7],paraître,4,_,_,23,8,24,['0'],[],['0'],[],[],[],[],True,False,False,1,0,l' année 1872,date_absolue,annee,1872-00-00-00-00,,,,,,,,precedent_context,habitée,,,,,
"C' était un homme qui avait dû voyager partout,- en esprit, tout au moins.",qui,voyager,,nsubj,xcomp,,5.0,8,,738.0,741,,[5],[],voyager,7,Dpt au sens large,VERB,25,8,26,['0'],[],['0'],[],[],[],[],True,False,False,1,0,l' année 1872,date_absolue,annee,1872-00-00-00-00,,,,,,,,precedent_context,habitée,,,,,
"Ce qui était certain toutefois, c' est que, depuis de longues années, Phileas Fogg n' avait pas quitté Londres.",Phileas Fogg,quitté,depuis de longues années,nsubj,ccomp,obl:mod,16.0,21,14.0,767.0,772,765.0,"[16, 17]","[11, 12, 13, 14]",quitter,8,32,_,26,9,27,['0'],[],['0'],[],[],[],[],True,False,False,1,2,depuis de longues années,date_absolue,annee,1862-00-00-00-00,,,,,,,,objet,quitté,ville_londres,londres,CAD cadre,GPE,ville_londres
"Ce qui était certain toutefois, c' est que, depuis de longues années, Phileas Fogg n' avait pas quitté Londres.",Phileas Fogg,quitté,Londres,nsubj,ccomp,obj,16.0,21,22.0,767.0,772,773.0,"[16, 17]",[22],quitter,8,32,_,26,9,27,['0'],[],['0'],[],[],[],[],True,False,False,1,2,depuis de longues années,date_absolue,annee,1862-00-00-00-00,,,,,,,,ud_direct,quitté,ville_londres,londres,CAD cadre,GPE,ville_londres
Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,parcourait,qu',nsubj,acl:relcl,obj,27.0,28,26.0,801.0,802,800.0,[27],[26],parcourir,24,35,_,27,9,28,['0'],[],['0'],[],['19'],['19'],['FAC'],True,True,True,1,3,chaque jour,date_absolue,annee,1872-00-00-00-00,,,,,,,,ud_direct,parcourait,M1,qu',lieu_sans_relation,FAC,M1 ; reform_club ; maison_fogg
Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,parcourait,chaque jour,nsubj,acl:relcl,obl:mod,27.0,28,30.0,801.0,802,804.0,[27],"[29, 30]",parcourir,24,35,_,27,9,28,['0'],[],['0'],[],[],[],[],True,False,False,1,3,chaque jour,date_absolue,annee,1872-00-00-00-00,,,,,,,,objet,parcourait,reform_club,au club,GOL goal,FAC,reform_club ; maison_fogg ; M1
Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,venir,de sa maison au club,nsubj,advcl,obl:arg,27.0,32,35.0,801.0,806,809.0,[27],"[33, 34, 35, 36, 37]",venir,28,54,_,27,9,28,['0'],['0'],['0'],[],"['5', '3']","['5', '3']",['FAC'],True,True,True,1,0,l' année 1872,date_absolue,annee,1872-00-00-00-00,,,,,,,,precedent_context,habitée,maison_fogg,de sa maison,SRC source,FAC,maison_fogg ; reform_club ; M1
"À ce jeu du silence, si bien approprié à sa nature, il gagnait souvent, mais ses gains n' entraient jamais dans sa bourse et figuraient pour une somme importante à son budget de charité.",il,gagnait,À ce jeu du silence si bien approprié à sa nature,nsubj,root,obl:mod,14.0,15,3.0,850.0,851,839.0,[14],"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12]",gagner,0,_,_,29,9,30,['0'],['0'],['0'],[],[],[],[],True,False,False,1,0,l' année 1872,date_absolue,annee,1872-00-00-00-00,,,,,,,,precedent_context,habitée,,,,,
"À ce jeu du silence, si bien approprié à sa nature, il gagnait souvent, mais ses gains n' entraient jamais dans sa bourse et figuraient pour une somme importante à son budget de charité.",ses gains,entraient,dans sa bourse,nsubj,conj,obl:arg,20.0,22,26.0,856.0,858,862.0,"[19, 20]","[24, 25, 26]",entrer,15,_,_,29,9,30,['0'],['0'],['0'],[],[],[],[],True,False,False,1,0,l' année 1872,date_absolue,annee,1872-00-00-00-00,,,,,,,,precedent_context,habitée,,,,,
"Le jeu était pour lui un combat, une lutte contre une difficulté, mais une lutte sans mouvement, sans déplacement, sans fatigue, et cela allait à son caractère.",cela,allait,à son caractère,nsubj,conj,obl:arg,28.0,29,32.0,921.0,922,925.0,[28],"[30, 31, 32]",aller,7,_,_,31,9,32,[],['0'],['0'],[],[],[],[],True,False,False,1,0,l' année 1872,date_absolue,annee,1872-00-00-00-00,,,,,,,,precedent_context,habitée,,,,,
"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,passait,Sur vingt-quatre heures,nsubj,root,obl:mod,5.0,7,3.0,1070.0,1072,1068.0,[5],"[1, 2, 3]",passer,0,37,VEH,37,10,38,['0'],[],['0'],[],[],[],[],True,False,False,1,6,sur vingt-quatre heures,,,,,,,,,,,objet,passait,maison_fogg,à son domicile,CAD cadre,FAC,maison_fogg
